Match Number,Round Number,Date,Location,Home Team,Away Team,Result
241,27,05/03/2023 16:00,Gaziantep Stadium,Gaziantep,Kasimpasa,
242,27,05/03/2023 16:00,Ümraniye Belediyesi Sehir Stadium,Ümraniyespor,Konyaspor,
243,27,05/03/2023 16:00,Senol Günes Sports Complex,Trabzonspor,Kayserispor,
244,28,12/03/2023 16:00,New Sivas 4 Eylül Stadium,Sivasspor,Istanbul Basaksehir,
245,28,12/03/2023 16:00,Konya Metropolitan Municipality Stadium,Konyaspor,Antalyaspor,
246,28,12/03/2023 16:00,Kadir Has Stadium,Kayserispor,Ümraniyespor,
247,28,12/03/2023 16:00,Recep Tayyip Erdogan Stadium,Kasimpasa,Trabzonspor,
248,28,12/03/2023 16:00,New Adana Stadium,Adana Demirspor,Gaziantep,
249,28,12/03/2023 16:00,Eryaman Stadium,Ankaragücü,Istanbulspor,
250,28,12/03/2023 16:00,Atatürk Olympic Stadium,Fatih Karagümrük,Fenerbahçe,
251,28,12/03/2023 16:00,Vodafone Park,Besiktas,Giresunspor,
252,28,12/03/2023 16:00,Bahçesehir Okullari Stadium,Alanyaspor,Hatayspor,
253,29,19/03/2023 16:00,Antalya Stadium,Antalyaspor,Alanyaspor,
254,29,19/03/2023 16:00,New Hatay Stadium,Hatayspor,Fatih Karagümrük,
255,29,19/03/2023 16:00,Senol Günes Sports Complex,Trabzonspor,Besiktas,
256,29,19/03/2023 16:00,Çotanak Sports Complex,Giresunspor,Sivasspor,
257,29,19/03/2023 16:00,Sükrü Saracoglu Stadium,Fenerbahçe,Ankaragücü,
258,29,19/03/2023 16:00,Esenyurt Necmi Kadioglu Stadium,Istanbulspor,Istanbul Basaksehir,
259,29,19/03/2023 16:00,New Adana Stadium,Adana Demirspor,Kasimpasa,
260,29,19/03/2023 16:00,Gaziantep Stadium,Gaziantep,Konyaspor,
261,29,19/03/2023 16:00,Nef Stadium,Galatasaray,Kayserispor,
262,30,02/04/2023 16:00,New Sivas 4 Eylül Stadium,Sivasspor,Trabzonspor,
263,30,02/04/2023 16:00,Esenyurt Necmi Kadioglu Stadium,Istanbulspor,Antalyaspor,
264,30,02/04/2023 16:00,Atatürk Olympic Stadium,Fatih Karagümrük,Ümraniyespor,
