Match Number,Round Number,Date,Location,Home Team,Away Team,Result
353,36,21/05/2023 15:00,Stade Francis-Le Blé,Stade Brestois 29,Clermont Foot 63,
354,36,21/05/2023 15:00,Stade Pierre-Mauroy,LOSC Lille,Olympique de Marseille,
355,36,21/05/2023 15:00,Stade du Moustoir,FC Lorient,RC Lens,
356,36,21/05/2023 15:00,Parc Olympique Lyonnais,Olympique Lyonnais,AS Monaco,
357,36,21/05/2023 15:00,Stade de la Beaujoire,FC Nantes,Montpellier Hérault SC,
358,36,21/05/2023 15:00,Stade de Nice,OGC Nice,Toulouse FC,
359,36,21/05/2023 15:00,Stade Auguste-Delaune,Stade de Reims,Angers SCO,
360,36,21/05/2023 15:00,Stade de l'Aube,ESTAC Troyes,RC Strasbourg Alsace,
361,37,27/05/2023 21:00,Stade Raymond Kopa,Angers SCO,ESTAC Troyes,
362,37,27/05/2023 21:00,Stade Gabriel Montpied,Clermont Foot 63,FC Lorient,
363,37,27/05/2023 21:00,Stade Bollaert-Delelis,RC Lens,AC Ajaccio,
364,37,27/05/2023 21:00,Stade Pierre-Mauroy,LOSC Lille,FC Nantes,
365,37,27/05/2023 21:00,Parc Olympique Lyonnais,Olympique Lyonnais,Stade de Reims,
366,37,27/05/2023 21:00,Stade Vélodrome,Olympique de Marseille,Stade Brestois 29,
367,37,27/05/2023 21:00,Stade de la Mosson,Montpellier Hérault SC,OGC Nice,
368,37,27/05/2023 21:00,Roazhon Park,Stade Rennais FC,AS Monaco,
369,37,27/05/2023 21:00,Stade de la Meinau,RC Strasbourg Alsace,Paris Saint-Germain,
370,37,27/05/2023 21:00,Stadium de Toulouse,Toulouse FC,AJ Auxerre,
371,38,03/06/2023 21:00,Stade François Coty,AC Ajaccio,Olympique de Marseille,
372,38,03/06/2023 21:00,Stade de l'Abbé-Deschamps,AJ Auxerre,RC Lens,
373,38,03/06/2023 21:00,Stade Francis-Le Blé,Stade Brestois 29,Stade Rennais FC,
374,38,03/06/2023 21:00,Stade du Moustoir,FC Lorient,RC Strasbourg Alsace,
375,38,03/06/2023 21:00,Stade Louis II,AS Monaco,Toulouse FC,
376,38,03/06/2023 21:00,Stade de la Beaujoire,FC Nantes,Angers SCO,
377,38,03/06/2023 21:00,Stade de Nice,OGC Nice,Olympique Lyonnais,
378,38,03/06/2023 21:00,Parc des Princes,Paris Saint-Germain,Clermont Foot 63,
379,38,03/06/2023 21:00,Stade Auguste-Delaune,Stade de Reims,Montpellier Hérault SC,
380,38,03/06/2023 21:00,Stade de l'Aube,ESTAC Troyes,LOSC Lille,
